paperId,title,year,venue,cited_by,arxiv,doi,ptypes,authors,abstract,topical,in_corpus,in_openalex
ee2e76e058b79487604a152187f387a44c5f8761,CLARIN-Emo: Training Emotion Recognition Models Using Human Annotation and ChatGPT,2023,International Conference on Conceptual Structures,24,,10.1007/978-3-031-35995-8_26,JournalArticle,"Bartlomiej Koptyra, Anh Ngo, Lukasz Radlinski et al.",,True,False,False
40f3aaf33ffd2c6687e405cffdb08f2dcc1f8ce4,ChatGPT Rates Natural Language Explanation Quality like Humans: But on Which Scales?,2024,International Conference on Language Resources and Evaluation,23,2403.17368,10.48550/arXiv.2403.17368,JournalArticle,"Fan Huang, Haewoon Kwak, Kunwoo Park et al.","As AI becomes more integral in our lives, the need for transparency and responsibility grows. While natural language explanations (NLEs) are vital for clarifying the reasoning behind AI decisions, evaluating them through human judgments is complex and resource-intensive due to subjectivity and the need for fine-grained ratings. This study explores the alignment between ChatGPT and human assessments across multiple scales (i.e., binary, ternary, and 7-Likert scale). We sample 300 data instances from three NLE datasets and collect 900 human annotations for both informativeness and clarity scores",True,False,False
9692caebb2bfa4a6536bc452b960e6e5b1ffdaf4,Using Large Language Models to Support Content Analysis: A Case Study of ChatGPT for Adverse Event Detection,2023,Journal of Medical Internet Research,22,,10.2196/52499,JournalArticle,"E. Leas, John W. Ayers, Nimit Desai et al.","This study explores the potential of using large language models to assist content analysis by conducting a case study to identify adverse events (AEs) in social media posts. The case study compares ChatGPT’s performance with human annotators’ in detecting AEs associated with delta-8-tetrahydrocannabinol, a cannabis-derived product. Using the identical instructions given to human annotators, ChatGPT closely approximated human results, with a high degree of agreement noted: 94.4% (9436/10,000) for any AE detection (Fleiss κ=0.95) and 99.3% (9931/10,000) for serious AEs (κ=0.96). These findings ",True,False,False
b559738d254c6c57e74ccda0f3c441a276062bc8,"Quite Good, but Not Enough: Nationality Bias in Large Language Models - a Case Study of ChatGPT",2024,International Conference on Language Resources and Evaluation,22,2405.06996,10.48550/arXiv.2405.06996,JournalArticle,"Shucheng Zhu, Weikang Wang, Ying Liu","While nationality is a pivotal demographic element that enhances the performance of language models, it has received far less scrutiny regarding inherent biases. This study investigates nationality bias in ChatGPT (GPT-3.5), a large language model (LLM) designed for text generation. The research covers 195 countries, 4 temperature settings, and 3 distinct prompt types, generating 4,680 discourses about nationality descriptions in Chinese and English. Automated metrics were used to analyze the nationality bias, and expert annotators alongside ChatGPT itself evaluated the perceived bias. The res",True,False,False
3c42a068bd9126ae7ceacb6c89a3ae8f89ca4a08,From Text to Emotion: Unveiling the Emotion Annotation Capabilities of LLMs,2024,Interspeech,22,2408.17026,10.21437/interspeech.2024-2282,JournalArticle,"Minxue Niu, Mimansa Jaiswal, E. Provost","Training emotion recognition models has relied heavily on human annotated data, which present diversity, quality, and cost challenges. In this paper, we explore the potential of Large Language Models (LLMs), specifically GPT4, in automating or assisting emotion annotation. We compare GPT4 with supervised models and or humans in three aspects: agreement with human annotations, alignment with human perception, and impact on model training. We find that common metrics that use aggregated human annotations as ground truth can underestimate the performance, of GPT-4 and our human evaluation experim",True,False,False
014890c9507c7632408802218659f62e779167a5,Ethical Concerns About ChatGPT in Healthcare: A Useful Tool or the Tombstone of Original and Reflective Thinking?,2024,Cureus,21,,10.7759/cureus.54759,Review;JournalArticle,"Marina Z Kapsali, Efstratios Livanis, C. Tsalikidis et al.","Artificial intelligence (AI), the uprising technology of computer science aiming to create digital systems with human behavior and intelligence, seems to have invaded almost every field of modern life. Launched in November 2022, ChatGPT (Chat Generative Pre-trained Transformer) is a textual AI application capable of creating human-like responses characterized by original language and high coherence. Although AI-based language models have demonstrated impressive capabilities in healthcare, ChatGPT has received controversial annotations from the scientific and academic communities. This chatbot ",True,False,False
aea98a47cccede5bdecd1136b7c3c6a31b4c1edf,Human vs ChatGPT: Effect of Data Annotation in Interpretable Crisis-Related Microblog Classification,2024,The Web Conference,20,,10.1145/3589334.3648141,Book;JournalArticle;Conference,"Thi Huyen Nguyen, Koustav Rudra","Recent studies have exploited the vital role of microblogging platforms, such as Twitter, in crisis situations. Various machine-learning approaches have been proposed to identify and prioritize crucial information from different humanitarian categories for preparation and rescue purposes. In crisis domain, the explanation of models' output decisions is gaining significant research momentum. Some previous works focused on human annotations of rationales to train and extract supporting evidence for model interpretability. However, such annotations are usually expensive, require much effort, and ",True,False,False
64aa50e16a32aaf2702d92cddd3e3f91ea4fe7e1,VeriFact: Verifying Facts in LLM-Generated Clinical Text with Electronic Health Records,2025,arXiv.org,18,2501.16672,10.48550/arXiv.2501.16672,JournalArticle,"Philip Chung, Akshay Swaminathan, Alex J. Goodell et al.","Methods to ensure factual accuracy of text generated by large language models (LLM) in clinical medicine are lacking. VeriFact is an artificial intelligence system that combines retrieval-augmented generation and LLM-as-a-Judge to verify whether LLM-generated text is factually supported by a patient's medical history based on their electronic health record (EHR). To evaluate this system, we introduce VeriFact-BHC, a new dataset that decomposes Brief Hospital Course narratives from discharge summaries into a set of simple statements with clinician annotations for whether each statement is suppo",True,False,True
3fa5a6769b9156e3e1a814de5aa5a6c942f50095,The Intersection of AI and Language Assessment: A Study on the Reliability of ChatGPT in Grading IELTS Writing Task 2,2024,Language Teaching Research Quarterly,17,,10.32038/ltrq.2024.43.02,JournalArticle,Osama Koraishi,"This study conducts a comprehensive quantitative evaluation of OpenAI's language model, ChatGPT 4, for grading Task 2 writing of the IELTS exam. The objective is to assess the alignment between ChatGPT's grading and that of official human raters. The analysis encompassed a multifaceted approach, including a comparison of means and reliability measures such as Cohen's weighted kappa and intraclass correlation. The results revealed a high agreement in means and substantial reliability between the two grading methods on the level of the majority of texts. However, individual discrepancies and out",True,False,False
c2061bc805785dab28374676993ac9632625e09e,Closing the Loop: Testing ChatGPT to Generate Model Explanations to Improve Human Labelling of Sponsored Content on Social Media,2023,arXiv.org,16,2306.05115,10.48550/arXiv.2306.05115,JournalArticle;Review,"Thales Bertaglia, Stefan Huber, Catalina Goanta et al.","Regulatory bodies worldwide are intensifying their efforts to ensure transparency in influencer marketing on social media through instruments like the Unfair Commercial Practices Directive (UCPD) in the European Union, or Section 5 of the Federal Trade Commission Act. Yet enforcing these obligations has proven to be highly problematic due to the sheer scale of the influencer market. The task of automatically detecting sponsored content aims to enable the monitoring and enforcement of such regulations at scale. Current research in this field primarily frames this problem as a machine learning t",True,False,False
f59d5b07fda1ec98ab97a23cd22043d20a174ed3,Text-to-SQL Domain Adaptation via Human-LLM Collaborative Data Annotation,2025,International Conference on Intelligent User Interfaces,12,2502.15980,10.1145/3708359.3712083,JournalArticle;Book;Conference,"Yuan Tian, Daniel Lee, Fei Wu et al.","Text-to-SQL models, which parse natural language (NL) questions to executable SQL queries, are increasingly adopted in real-world applications. However, deploying such models in the real world often requires adapting them to the highly specialized database schemas used in specific applications. We find that existing text-to-SQL models experience significant performance drops when applied to new schemas, primarily due to the lack of domain-specific data for fine-tuning. This data scarcity also limits the ability to effectively evaluate model performance in new domains. Continuously obtaining hi",True,False,False
ff682aa9dd638374dc085f8b28eac32d4bc0adc1,A GPT among Annotators: LLM-based Entity-Level Sentiment Annotation,2024,Law,10,,10.18653/v1/2024.law-1.13,,"Egil Rønningstad, Erik Velldal, Lilja Øvrelid","We investigate annotator variation for the novel task of Entity-Level Sentiment Analysis (ELSA) which annotates the aggregated sentiment directed towards volitional entities in a text. More specifically, we analyze the annotations of a newly constructed Norwegian ELSA dataset and release additional data with each annotator’s labels for the 247 entities in the dataset’s test split. We also perform a number of experiments prompting ChatGPT for these sentiment labels regarding each entity in the text and compare the generated annotations with the human labels. Cohen’s Kappa for agreement between ",True,False,False
fb31c33349816063f999af1351c03fcea08aeb2e,Humans vs. ChatGPT: Evaluating Annotation Methods for Financial Corpora,2023,BigData Congress [Services Society],9,,10.1109/BigData59044.2023.10386425,JournalArticle;Conference,"Jamshed Kaikaus, Haoen Li, Robert J. Brunner","Given the vast amount of unstructured financial text data available today, there is a high demand for reliable, quality annotations to facilitate robust model development. However, traditional methods can often be expensive and time-inefficient. In this study, we investigate annotations for emotion, sentiment, and cognitive dissonance generated by the large language models (LLMs), GPT-3.5 and GPT-4, for quarterly earnings conference calls and compare them against human annotations obtained via traditional methods. We also investigate different prompt engineering choices on LLM annotation quali",True,False,False
9a9a04d8d7fd1f0ff2d8ea8b0d10d51c3551bf20,Biased by Design? Evaluating Bias and Behavioral Diversity in LLM Annotation of Real-World and Synthetic Hotel Reviews,2025,Applied Informatics,8,,10.3390/ai6080178,JournalArticle;Review,"Maria C. Voutsa, Nicolas Tsapatsoulis, Constantinos Djouvas","As large language models (LLMs) gain traction among researchers and practitioners, particularly in digital marketing for tasks such as customer feedback analysis and automated communication, concerns remain about the reliability and consistency of their outputs. This study investigates annotation bias in LLMs by comparing human and AI-generated annotation labels across sentiment, topic, and aspect dimensions in hotel booking reviews. Using the HRAST dataset, which includes 23,114 real user-generated review sentences and a synthetically generated corpus of 2000 LLM-authored sentences, we evalua",True,False,True
9c63ab954fa6e22409741514104d239546e74f8a,Evaluating ChatGPT’s Performance in Classifying Pertrochanteric Fractures Based on Arbeitsgemeinschaft für Osteosynthesefragen/Orthopedic Trauma Association (AO/OTA) Standards,2025,Cureus,6,,10.7759/cureus.78068,JournalArticle,"Mitsuaki Noda, Shunsuke Takahara, Shinya Hayashi et al.","Introduction Generative Pre-Training Transformer (ChatGPT) has become widely recognized for its capability to generate text, synthesize complex information, and perform a variety of tasks without requiring human specialists for data collection. The latest iteration, ChatGPT-4, is a large multimodal model capable of integrating both text and image inputs, rendering it particularly promising for medical applications. However, its efficacy in analyzing radiographic images remains largely unexplored. Aim This study aims to (i) address the lack of data on the accuracy of ChatGPT in radiographic fra",True,False,False
482a274a17efcb2f1abdc7fbac4507afc114f16a,Advancing Annotation of Stance in Social Media Posts: A Comparative Analysis of Large Language Models and Crowd Sourcing,2024,arXiv.org,5,2406.07483,10.48550/arXiv.2406.07483,JournalArticle,"Mao Li, Frederick Conrad","In the rapidly evolving landscape of Natural Language Processing (NLP), the use of Large Language Models (LLMs) for automated text annotation in social media posts has garnered significant interest. Despite the impressive innovations in developing LLMs like ChatGPT, their efficacy, and accuracy as annotation tools are not well understood. In this paper, we analyze the performance of eight open-source and proprietary LLMs for annotating the stance expressed in social media posts, benchmarking their performance against human annotators' (i.e., crowd-sourced) judgments. Additionally, we investiga",True,False,False
bfa7c0f0d4a57f8c8052160a91727c87d591d5ca,Labeling Free-text Data using Language Model Ensembles,2025,,5,2501.08413,,,"Jiaxing Qiu, Dongliang Guo, N. Papini et al.","Free-text responses are commonly collected in psychological studies, providing rich qualitative insights that quantitative measures may not capture. Labeling curated topics of research interest in free-text data by multiple trained human coders is typically labor-intensive and time-consuming. Though large language models (LLMs) excel in language processing, LLM-assisted labeling techniques relying on closed-source LLMs cannot be directly applied to free-text data, without explicit consent for external use. In this study, we propose a framework of assembling locally-deployable LLMs to enhance t",True,False,
8adad8c65d9226dc4bb3b3ebadc8b37131bbc2e3,Using a large language model (ChatGPT) to assess risk of bias in randomized controlled trials of medical interventions: protocol for a pilot study of interrater agreement with human reviewers,2025,BMC Medical Research Methodology,4,,10.1186/s12874-025-02631-0,JournalArticle;Review,"Christopher James Rose, Julia Bidonde, M. Ringsten et al.",Risk of bias (RoB) assessment is an essential part of systematic reviews that requires reading and understanding each eligible trial and RoB tools. RoB assessment is subject to human error and is time-consuming. Machine learning-based tools have been developed to automate RoB assessment using simple models trained on limited corpuses. ChatGPT is a conversational agent based on a large language model (LLM) that was trained on an internet-scale corpus and has demonstrated human-like abilities in multiple areas including healthcare. LLMs might be able to support systematic reviewing tasks such as,True,False,False
32f017c6d692861184c87fd9d7e6cc7c5025fcc6,Transfer Learning and Lexicon-Based Approaches for Implicit Hate Speech Detection: A Comparative Study of Human and GPT-4 Annotation,2024,International Computer Science Conference,4,,10.1109/ICSC59802.2024.00028,JournalArticle;Conference,"Saad Almohaimeed, Saleh Almohaimeed, Ladislau Bölöni","Detecting harmful speech is the subject of significant research effort both in the academia and industry. While good progress was made on detecting explicit hate speech, detecting implicit hate remains difficult as it requires a deep understanding of the allusions of the text and the social context in which it was uttered. In this paper we study the effectiveness of several approaches to implicit hate speech detection, including lexicon-based approaches, transfer learning, and the use of up-to-date large language models, such as GPT-4. By combining lexicon-based approach with the targeted topi",True,False,False
