title,year,venue,cited_by,arxiv,doi,authors,source,axk,doik,tk,key,in_corpus
Text-to-SQL Domain Adaptation via Human-LLM Collaborative Data Annotation,2025,International Conference on Intelligent User Interfaces,12,2502.1598,10.1145/3708359.3712083,"Yuan Tian, Daniel Lee, Fei Wu et al.",S2,2502.1598,10.1145/3708359.3712083,texttosqldomainadaptationviahumanllmcollaborativedataan,2502.1598,False
Chasing sleep physicians: ChatGPT-4o on the interpretation of polysomnographic results,2024,European Archives of Oto-Rhino-Laryngology,9,,10.1007/s00405-024-08985-3,"Christopher Seifen, Tilman Huppertz, Haralampos Gouveris et al.",OA,,10.1007/s00405-024-08985-3,chasingsleepphysicianschatgpt4oontheinterpretationofpol,10.1007/s00405-024-08985-3,False
Assessing the accuracy and consistency of large language models in triaging social media posts for psychological distress,2025,Psychiatry Research,9,,10.1016/j.psychres.2025.116583,"Michele Settanni, Francesco Quilghini, Anna Toscano et al.",OA,,10.1016/j.psychres.2025.116583,assessingtheaccuracyandconsistencyoflargelanguagemodels,10.1016/j.psychres.2025.116583,False
AI meets sleep surgery: assessing drug-induced sleep endoscopy interpretation with a large language model,2025,SLEEP,8,,10.1093/sleep/zsaf338,"Sholem Hack, Shibli Alsleibi, Shai Shemesh et al.",OA,,10.1093/sleep/zsaf338,aimeetssleepsurgeryassessingdruginducedsleependoscopyin,10.1093/sleep/zsaf338,False
Has the creativity of large-language models peaked?,2025,Journal of Creativity,7,,10.1016/j.yjoc.2025.100113,"Jennifer Haase, Paul H. P. Hanel, Sebastian Pokutta",OA,,10.1016/j.yjoc.2025.100113,hasthecreativityoflargelanguagemodelspeaked,10.1016/j.yjoc.2025.100113,False
Evaluating ChatGPT’s Performance in Classifying Pertrochanteric Fractures Based on Arbeitsgemeinschaft für Osteosynthesefragen/Orthopedic Trauma Association (AO/OTA) Standards,2025,Cureus,6,,10.7759/cureus.78068,"Mitsuaki Noda, Shunsuke Takahara, Shinya Hayashi et al.",S2,,10.7759/cureus.78068,evaluatingchatgptsperformanceinclassifyingpertrochanter,10.7759/cureus.78068,False
Evaluation of large language models within GenAI in qualitative research,2025,Scientific Reports,5,,10.1038/s41598-025-18969-w,"Supriya D. Mehta, Souvik Paul, Enid Awiti et al.",OA,,10.1038/s41598-025-18969-w,evaluationoflargelanguagemodelswithingenaiinqualitative,10.1038/s41598-025-18969-w,False
Transfer Learning and Lexicon-Based Approaches for Implicit Hate Speech Detection: A Comparative Study of Human and GPT-4 Annotation,2024,International Computer Science Conference,4,,10.1109/ICSC59802.2024.00028,"Saad Almohaimeed, Saleh Almohaimeed, Ladislau Bölöni",S2,,10.1109/icsc59802.2024.00028,transferlearningandlexiconbasedapproachesforimplicithat,10.1109/icsc59802.2024.00028,False
Quati: A Brazilian Portuguese Information Retrieval Dataset from Native Speakers,2024,,4,,10.5753/stil.2024.245426,"Mirelle Candida Bueno, E. Seiti de Oliveira, Rodrigo Nogueira et al.",OA,,10.5753/stil.2024.245426,quatiabrazilianportugueseinformationretrievaldatasetfro,10.5753/stil.2024.245426,False
An Experimental Assessment of AI-Based Legal Decision-Making Systems in Contract Analysis and Risk Detection,2025,Qubahan Techno Journal,3,,10.48161/qtj.v5n1a81,"Tatiana Suplicy Barbosa, Douglas de Castro, Anand Kumar Singh et al.",OA,,10.48161/qtj.v5n1a81,anexperimentalassessmentofaibasedlegaldecisionmakingsys,10.48161/qtj.v5n1a81,False
Benchmarking Generation and Evaluation Capabilities of Large Language Models for Instruction Controllable Summarization,2023,arXiv (Cornell University),3,2311.09184,10.48550/arxiv.2311.09184,"Yixin Liu, Alexander R. Fabbri, Jiawen Chen et al.",OA,2311.09184,10.48550/arxiv.2311.09184,benchmarkinggenerationandevaluationcapabilitiesoflargel,2311.09184,False
"Language Models Hallucinate, but May Excel at Fact Verification",2023,arXiv (Cornell University),3,2310.14564,10.48550/arxiv.2310.14564,"Jian Guan, Jesse Dodge, David Wadden et al.",OA,2310.14564,10.48550/arxiv.2310.14564,languagemodelshallucinatebutmayexcelatfactverification,2310.14564,False
CalibJudge: Calibrated LLM-as-a-Judge for Multilingual RAG with Uncertainty-Aware Scoring,2026,,3,,10.1145/3807246.3807349,"Chenfeiyu Wen, Ao Zhu, Runkun Long et al.",OA,,10.1145/3807246.3807349,calibjudgecalibratedllmasajudgeformultilingualragwithun,10.1145/3807246.3807349,False
LLM-Assisted Relevance Assessments: When Should We Ask LLMs for Help?,2024,arXiv (Cornell University),3,2411.06877,10.48550/arxiv.2411.06877,"Rikiya Takehi, Ellen M. Voorhees, Tetsuya Sakai et al.",OA,2411.06877,10.48550/arxiv.2411.06877,llmassistedrelevanceassessmentswhenshouldweaskllmsforhe,2411.06877,False
Automating Clinical Phenotyping Using Natural Language Processing: An Application for Crohn’s Disease,2023,medRxiv,3,,10.1101/2023.10.16.23297099,"Linea Schmidt, Susanne Ibing, Florian Borchert et al.",OA,,10.1101/2023.10.16.23297099,automatingclinicalphenotypingusingnaturallanguageproces,10.1101/2023.10.16.23297099,False
Online Prediction of User Enjoyment in Human-Robot Dialogue with LLMs,2025,,3,,10.1109/hri61500.2025.10973944,"Ruben Janssens, André Pereira, Gabriel Skantze et al.",OA,,10.1109/hri61500.2025.10973944,onlinepredictionofuserenjoymentinhumanrobotdialoguewith,10.1109/hri61500.2025.10973944,False
From Voices to Validity: Leveraging Large Language Models (LLMs) for Textual Analysis of Policy Stakeholder Interviews,2025,AERA Open,3,,10.1177/23328584251374595,"Alex Liu, Sun Min",OA,,10.1177/23328584251374595,fromvoicestovalidityleveraginglargelanguagemodelsllmsfo,10.1177/23328584251374595,False
JudgeBlender: Ensembling Automatic Relevance Judgments,2025,,3,,10.1145/3701716.3715536,"Hossein A. Rahmani, Emine Yilmaz, Nick Craswell et al.",OA,,10.1145/3701716.3715536,judgeblenderensemblingautomaticrelevancejudgments,10.1145/3701716.3715536,False
Trust or Escalate: LLM Judges with Provable Guarantees for Human Agreement,2024,arXiv (Cornell University),3,2407.1837,10.48550/arxiv.2407.18370,"Jaehun Jung, Faeze Brahman, Yejin Choi",OA,2407.1837,10.48550/arxiv.2407.18370,trustorescalatellmjudgeswithprovableguaranteesforhumana,2407.1837,False
LLM-GLOBE: A Benchmark Evaluating the Cultural Values Embedded in LLM Output,2024,arXiv (Cornell University),3,2411.06032,10.48550/arxiv.2411.06032,"Elise Karinshak, Amanda Hu, Kewen Kong et al.",OA,2411.06032,10.48550/arxiv.2411.06032,llmglobeabenchmarkevaluatingtheculturalvaluesembeddedin,2411.06032,False
