openalex_id,title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical,already
W4400831181,Integrated image-based deep learning and language models for primary diabetes care,2024,Nature Medicine,195,article,,10.1038/s41591-024-03139-8,"Jiajia Li, Zhouyu Guan, Jing Wang et al.","Primary diabetes care and diabetic retinopathy (DR) screening persist as major public health challenges due to a shortage of trained primary care physicians (PCPs), particularly in low-resource settings. Here, to bridge the gaps, we developed an integrated image-language system (DeepDR-LLM), combining a large language model (LLM module) and image-based deep learning (DeepDR-Transformer), to provide individualized diabetes management recommendations to PCPs. In a retrospective evaluation, the LLM module demonstrated comparable performance to PCPs and endocrinology residents when tested in Engli",True,False
W4385688511,Perspectives on Large Language Models for Relevance Judgment,2023,,152,article,,10.1145/3578337.3605136,"Guglielmo Faggioli, Laura Dietz, Charles L. A. Clarke et al.","When asked, large language models~(LLMs) like ChatGPT claim that they can assist with relevance judgments but it is not clear whether automated judgments can reliably be used in evaluations of retrieval systems. In this perspectives paper, we discuss possible ways for~LLMs to support relevance judgments along with concerns and issues that arise. We devise a human--machine collaboration spectrum that allows to categorize different relevance judgment strategies, based on how much humans rely on machines. For the extreme point of 'fully automated judgments', we further include a pilot experiment ",True,False
W4322760121,Large Language Models Are State-of-the-Art Evaluators of Translation Quality,2023,arXiv (Cornell University),109,preprint,2302.1452,10.48550/arxiv.2302.14520,"Tom Kocmi, Christian Federmann","We describe GEMBA, a GPT-based metric for assessment of translation quality, which works both with a reference translation and without. In our evaluation, we focus on zero-shot prompting, comparing four prompt variants in two modes, based on the availability of the reference. We investigate nine versions of GPT models, including ChatGPT and GPT-4. We show that our method for translation quality assessment only works with GPT~3.5 and larger models. Comparing to results from WMT22's Metrics shared task, our method achieves state-of-the-art accuracy in both modes when compared to MQM-based human ",True,False
W4385774833,Trustworthy LLMs: a Survey and Guideline for Evaluating Large Language Models' Alignment,2023,arXiv (Cornell University),70,preprint,2308.05374,10.48550/arxiv.2308.05374,"Yang Liu, Yuanshun Yao, Jean-François Ton et al.","Ensuring alignment, which refers to making models behave in accordance with human intentions [1,2], has become a critical task before deploying large language models (LLMs) in real-world applications. For instance, OpenAI devoted six months to iteratively aligning GPT-4 before its release [3]. However, a major challenge faced by practitioners is the lack of clear guidance on evaluating whether LLM outputs align with social norms, values, and regulations. This obstacle hinders systematic iteration and deployment of LLMs. To address this issue, this paper presents a comprehensive survey of key d",True,False
W4409967501,A scoping review of large language models for generative tasks in mental health care,2025,npj Digital Medicine,65,review,,10.1038/s41746-025-01611-4,"Yining Hua, Hongbin Na, Zehan Li et al.","Large language models (LLMs) show promise in mental health care for handling human-like conversations, but their effectiveness remains uncertain. This scoping review synthesizes existing research on LLM applications in mental health care, reviews model performance and clinical effectiveness, identifies gaps in current evaluation methods following a structured evaluation framework, and provides recommendations for future development. A systematic search identified 726 unique articles, of which 16 met the inclusion criteria. These studies, encompassing applications such as clinical assistance, c",True,False
W4389344855,Is GPT-4 a reliable rater? Evaluating consistency in GPT-4's text ratings,2023,Frontiers in Education,65,article,,10.3389/feduc.2023.1272229,"Veronika Hackl, Alexandra Elena Müller, Michael Granitzer et al.","This study reports the Intraclass Correlation Coefficients of feedback ratings produced by OpenAI's GPT-4, a large language model (LLM), across various iterations, time frames, and stylistic variations. The model was used to rate responses to tasks related to macroeconomics in higher education (HE), based on their content and style. Statistical analysis was performed to determine the absolute agreement and consistency of ratings in all iterations, and the correlation between the ratings in terms of content and style. The findings revealed high interrater reliability, with ICC scores ranging fr",True,False
W4402926409,LLM-based automatic short answer grading in undergraduate medical education,2024,BMC Medical Education,65,article,,10.1186/s12909-024-06026-5,Christian Grévisse,"BACKGROUND: Multiple choice questions are heavily used in medical education assessments, but rely on recognition instead of knowledge recall. However, grading open questions is a time-intensive task for teachers. Automatic short answer grading (ASAG) has tried to fill this gap, and with the recent advent of Large Language Models (LLM), this branch has seen a new momentum. METHODS: We graded 2288 student answers from 12 undergraduate medical education courses in 3 languages using GPT-4 and Gemini 1.0 Pro. RESULTS: GPT-4 proposed significantly lower grades than the human evaluator, but reached l",True,False
W4389165073,Uncovering the semantics of concepts using GPT-4,2023,Proceedings of the National Academy of Sciences,63,article,,10.1073/pnas.2309350120,"Gaël Le Mens, Balázs Kovács, Michael Hannan et al.","The ability of recent Large Language Models (LLMs) such as GPT-3.5 and GPT-4 to generate human-like texts suggests that social scientists could use these LLMs to construct measures of semantic similarity that match human judgment. In this article, we provide an empirical test of this intuition. We use GPT-4 to construct a measure of typicality—the similarity of a text document to a concept. We evaluate its performance against other model-based typicality measures in terms of the correlation with human typicality ratings. We conduct this comparative analysis in two domains: the typicality of bo",True,False
W4393064140,Generating Automatic Feedback on UI Mockups with Large Language Models,2024,,61,preprint,2403.13139,10.1145/3613904.3642782,"Peitong Duan, Jeremy Warner, Yang Li et al.","Feedback on user interface (UI) mockups is crucial in design. However, human feedback is not always readily available. We explore the potential of using large language models for automatic feedback. Specifically, we focus on applying GPT-4 to automate heuristic evaluation, which currently entails a human expert assessing a UI’s compliance with a set of design guidelines. We implemented a Figma plugin that takes in a UI design and a set of written heuristics, and renders automatically-generated feedback as constructive suggestions. We assessed performance on 51 UIs using three sets of guideline",True,False
W4385571576,Rating Short L2 Essays on the CEFR Scale with GPT-4,2023,,60,article,,10.18653/v1/2023.bea-1.49,"Kevin Yancey, Geoffrey T. LaFlair, Anthony Verardi et al.","Essay scoring is a critical task used to evaluate second-language (L2) writing proficiency on high-stakes language assessments. While automated scoring approaches are mature and have been around for decades, human scoring is still considered the gold standard, despite its high costs and well-known issues such as human rater fatigue and bias. The recent introduction of large language models (LLMs) brings new opportunities for automated scoring. In this paper, we evaluate how well GPT-3.5 and GPT-4 can rate short essay responses written by L2 English learners on a high-stakes language assessment",True,False
W4402819599,Grading exams using large language models: A comparison between human and AI grading of exams in higher education using ChatGPT,2024,British Educational Research Journal,56,article,,10.1002/berj.4069,Jonas Flodén,"Abstract This study compares how the generative AI (GenAI) large language model (LLM) ChatGPT performs in grading university exams compared to human teachers. Aspects investigated include consistency, large discrepancies and length of answer. Implications for higher education, including the role of teachers and ethics, are also discussed. Three Master's‐level exams were scored using ChatGPT 3.5, and the results were compared with the teachers' scoring and the grading teachers were interviewed. In total, 463 exam responses were graded. With each response being graded at least three times, a tot",True,False
W4389132588,Toward AI grading of student problem solutions in introductory physics: A feasibility study,2023,Physical Review Physics Education Research,54,article,,10.1103/physrevphyseducres.19.020163,Gerd Kortemeyer,"Solving problems is crucial for learning physics, and not only final solutions but also their derivations are important. Grading these derivations is labor intensive, as it generally involves human evaluation of handwritten work. AI tools have not been an alternative, since even for short answers, they needed specific training for each problem or set of problems. Extensively pretrained AI systems offer a potentially universal grading solution without this specific training. This feasibility study explores an AI-assisted workflow to grade handwritten physics derivations using MathPix and GPT-4.",True,False
W4378468563,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,2023,arXiv (Cornell University),54,preprint,2305.14387,10.48550/arxiv.2305.14387,"Yann Dubois, Xuechen Li, Rohan Taori et al.","Large language models (LLMs) such as ChatGPT have seen widespread adoption due to their strong instruction-following abilities. Developing these LLMs involves a complex yet poorly understood workflow requiring training with human feedback. Replicating and understanding this instruction-following requires tackling three major challenges: the high cost of data collection, the lack of trustworthy evaluation, and the absence of reference method implementations. We address these challenges with AlpacaFarm, a simulator that enables research and development for learning from feedback at a low cost. F",True,False
W4402192035,Reliability of ChatGPT in automated essay scoring for dental undergraduate examinations,2024,BMC Medical Education,53,article,,10.1186/s12909-024-05881-6,"Bernadette Quah, Lei Zheng, Timothy Jie Han Sng et al.","BACKGROUND: This study aimed to answer the research question: How reliable is ChatGPT in automated essay scoring (AES) for oral and maxillofacial surgery (OMS) examinations for dental undergraduate students compared to human assessors? METHODS: Sixty-nine undergraduate dental students participated in a closed-book examination comprising two essays at the National University of Singapore. Using pre-created assessment rubrics, three assessors independently performed manual essay scoring, while one separate assessor performed AES using ChatGPT (GPT-4). Data analyses were performed using the intra",True,False
W4409357579,LLM-based NLG Evaluation: Current Status and Challenges,2025,Computational Linguistics,53,article,,10.1162/coli_a_00561,"Mingqi Gao, Xinyu Hu, Xunjian Yin et al.","Abstract Evaluating natural language generation (NLG) is a vital but challenging problem in natural language processing. Traditional evaluation metrics mainly capturing content (e.g., n-gram) overlap between system outputs and references are far from satisfactory, and large language models (LLMs) such as ChatGPT have demonstrated great potential in NLG evaluation in recent years. Various automatic evaluation methods based on LLMs have been proposed, including metrics derived from LLMs, prompting LLMs, fine-tuning LLMs, and human–LLM collaborative evaluation. In this survey, we first give a tax",True,False
W4389519409,GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,2023,,48,article,,10.18653/v1/2023.emnlp-main.16,"Md Tawkat Islam Khondaker, Abdul Waheed, El Moatez Billah Nagoudi et al.","ChatGPT’s emergence heralds a transformative phase in NLP, particularly demonstrated through its excellent performance on many English benchmarks. However, the model’s efficacy across diverse linguistic contexts remains largely uncharted territory. This work aims to bridge this knowledge gap, with a primary focus on assessing ChatGPT’s capabilities on Arabic languages and dialectal varieties. Our comprehensive study conducts a large-scale automated and human evaluation of ChatGPT, encompassing 44 distinct language understanding and generation tasks on over 60 different datasets. To our knowled",True,False
W4404782878,Humans or LLMs as the Judge? A Study on Judgement Bias,2024,,38,article,,10.18653/v1/2024.emnlp-main.474,"Guiming Hardy Chen, Shunian Chen, Ziche Liu et al.","Adopting human and large language models (LLM) as judges (a.k.a human-and LLM-as-ajudge) for evaluating the performance of LLMs has recently gained attention.Nonetheless, this approach concurrently introduces potential biases from human and LLMs, questioning the reliability of the evaluation results.In this paper, we propose a novel framework that is free from referencing groundtruth annotations for investigating Misinformation Oversight Bias, Gender Bias, Authority Bias and Beauty Bias on LLM and human judges.We curate a dataset referring to the revised Bloom's Taxonomy and conduct thousands ",True,False
W4389520163,Large Language Models are Not Yet Human-Level Evaluators for Abstractive Summarization,2023,,37,article,,10.18653/v1/2023.findings-emnlp.278,"Chenhui Shen, Liying Cheng, Xuan-Phi Nguyen et al.","With the recent undeniable advancement in reasoning abilities in large language models (LLMs) like ChatGPT and GPT-4, there is a growing trend for using LLMs on various tasks. One area where LLMs can be employed is as an alternative evaluation metric for complex generative tasks, which generally demands expensive human judges to complement the traditional automatic metrics for various evaluation dimensions such as fluency and consistency. In this work, we conduct extensive analysis to investigate the stability and reliability of LLMs as automatic evaluators for abstractive summarization. We fo",True,False
W4389518754,INSTRUCTSCORE: Towards Explainable Text Generation Evaluation with Automatic Feedback,2023,,36,article,,10.18653/v1/2023.emnlp-main.365,"Wenda Xu, Danqing Wang, Liangming Pan et al.","Automatically evaluating the quality of language generation is critical. Although recent learned metrics show high correlation with human judgement, these metrics do not provide explicit explanation of their verdict, nor associate the scores with defects in the generated text. To address this limitation, we present INSTRUCTSCORE, a fine-grained explainable evaluation metric for text generation. By harnessing both explicit human instruction and the implicit knowledge of GPT-4, we fine-tune a text evaluation metric based on LLaMA, producing both a score for generated text and a human readable di",True,False
W4376139550,Can ChatGPT and Bard generate aligned assessment items? A reliability analysis against human performance,2023,Journal of Applied Learning & Teaching,36,article,,10.37074/jalt.2023.6.1.28,Abdolvahab Khademi,"ChatGPT and Bard are AI chatbots based on Large Language Models (LLM) that are slated to promise different applications in diverse areas. In education, these AI technologies have been tested for applications in assessment and teaching. In assessment, AI has long been used in automated essay scoring and automated item generation. One psychometric property that these tools must have to assist or replace humans in assessment is high reliability in terms of agreement between AI scores and human raters. In this paper, the reliability of OpenAI’s ChatGPT and Google’s Bard LLMs tools against experien",True,False
W4383993628,BeaverTails: Towards Improved Safety Alignment of LLM via a Human-Preference Dataset,2023,arXiv (Cornell University),34,preprint,2307.04657,10.48550/arxiv.2307.04657,"Jiaming Ji, Mickel Liu, Juntao Dai et al.","In this paper, we introduce the BeaverTails dataset, aimed at fostering research on safety alignment in large language models (LLMs). This dataset uniquely separates annotations of helpfulness and harmlessness for question-answering pairs, thus offering distinct perspectives on these crucial attributes. In total, we have gathered safety meta-labels for 333,963 question-answer (QA) pairs and 361,903 pairs of expert comparison data for both the helpfulness and harmlessness metrics. We further showcase applications of BeaverTails in content moderation and reinforcement learning with human feedbac",True,False
W4401044046,Beyond Yes and No: Improving Zero-Shot LLM Rankers via Scoring Fine-Grained Relevance Labels,2024,,32,article,,10.18653/v1/2024.naacl-short.31,"Honglei Zhuang, Zhen Qin, Kai Hui et al.","Honglei Zhuang, Zhen Qin, Kai Hui, Junru Wu, Le Yan, Xuanhui Wang, Michael Bendersky. Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 2: Short Papers). 2024.",True,False
W4405143965,LLMs can be Fooled into Labelling a Document as Relevant: best café near me; this paper is perfectly relevant,2024,,29,article,,10.1145/3673791.3698431,"Marwah Alaofi, Paul Thomas, Falk Scholer et al.","Large Language Models (LLMs) are increasingly being used to assess the relevance of information objects. This work reports on experiments to study the labelling of short texts (i.e., passages) for relevance, using multiple open-source and proprietary LLMs. While the overall agreement of some LLMs with human judgements is comparable to human-to-human agreement measured in previous research, LLMs are more likely to label passages as relevant compared to human judges, indicating that LLM labels denoting non-relevance are more reliable than those indicating relevance.",True,False
W4411522868,Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,2025,Proceedings of the ACM on software engineering.,27,article,,10.1145/3728963,"Ruiqi Wang, Jiyu Guo, Cuiyun Gao et al.","Recently, large language models (LLMs) have been deployed to tackle various software engineering (SE) tasks like code generation, significantly advancing the automation of SE tasks. However, assessing the quality of these LLM-generated code and text remains challenging. The commonly used Pass@k metric necessitates extensive unit tests and configured environments, demands a high labor cost, and is not suitable for evaluating LLM-generated text. Conventional metrics like BLEU, which measure only lexical rather than semantic similarity, have also come under scrutiny. In response, a new trend has ",True,False
W4387372743,ChatGPT for Text Annotation? Mind the Hype!,2023,,26,preprint,,10.31235/osf.io/x58kn,"Étienne Ollion, Rubing Shen, Ana Macanovic et al.","In the past months, researchers have enthusiastically discussed the relevance of zero- or few-shot classifiers like ChatGPT for text annotation. Should these models prove to be performant, they would open up new continents for research, and beyond. To assess the merits and limits of this approach, we conducted a systematic literature review. Reading all the articles doing zero or few-shot text annotation in the human and social sciences, we found that these few- shot learners offer enticing, yet mixed results on text annotation tasks. The performance scores can vary widely, with some being ave",True,False
W4389519553,ChatGPT to Replace Crowdsourcing of Paraphrases for Intent Classification: Higher Diversity and Comparable Model Robustness,2023,,25,article,,10.18653/v1/2023.emnlp-main.117,"Ján Čegiň, Jakub Šimko, Peter Brusilovsky","&lt;p&gt;The emergence of generative large language models (LLMs) raises the question: what will be its impact on crowdsourcing? Traditionally, crowdsourcing has been used for acquiring solutions to a wide variety of human-intelligence tasks, including ones involving text generation, modification or evaluation. For some of these tasks, models like ChatGPT can potentially substitute human workers. In this study, we investigate whether this is the case for the task of paraphrase generation for intent classification. We apply data collection methodology of an existing crowdsourcing study (similar",True,False
W4389524234,GEMBA-MQM: Detecting Translation Quality Error Spans with GPT-4,2023,,25,article,,10.18653/v1/2023.wmt-1.64,"Tom Kocmi, Christian Federmann","This paper introduces GEMBA-MQM, a GPT-based evaluation metric designed to detect translation quality errors, specifically for the quality estimation setting without the need for human reference translations. Based on the power of large language models (LLM), GEMBA-MQM employs a fixed three-shot prompting technique, querying the GPT-4 model to mark error quality spans. Compared to previous works, our method has language-agnostic prompts, thus avoiding the need for manual prompt preparation for new languages. While preliminary results indicate that GEMBA-MQM achieves state-of-the-art accuracy f",True,False
W4402683144,Human-Centered Design Recommendations for LLM-as-a-judge,2024,,22,article,,10.18653/v1/2024.hucllm-1.2,"Qian Pan, Zahra Ashktorab, Michael Desmond et al.","Qian Pan, Zahra Ashktorab, Michael Desmond, Martín Santillán Cooper, James Johnson, Rahul Nair, Elizabeth Daly, Werner Geyer. Proceedings of the 1st Human-Centered Large Language Modeling Workshop. 2024.",True,False
W4393156822,Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark,2024,Proceedings of the AAAI Conference on Artificial Intelligence,22,article,,10.1609/aaai.v38i17.29811,"Fangjun Li, David Hogg, Anthony G. Cohn","Artificial intelligence (AI) has made remarkable progress across various domains, with large language models like ChatGPT gaining substantial attention for their human-like text-generation capabilities. Despite these achievements, improving spatial reasoning remains a significant challenge for these models. Benchmarks like StepGame evaluate AI spatial reasoning, where ChatGPT has shown unsatisfactory performance. However, the presence of template errors in the benchmark has an impact on the evaluation results. Thus there is potential for ChatGPT to perform better if these template errors are a",True,False
W4402667059,FineSurE: Fine-grained Summarization Evaluation using LLMs,2024,,22,article,,10.18653/v1/2024.acl-long.51,"Hwanjun Song, Hang Su, Igor Shalyminov et al.","Automated evaluation is crucial for streamlining text summarization benchmarking and model development, given the costly and timeconsuming nature of human evaluation.Traditional methods like ROUGE do not correlate well with human judgment, while recently proposed LLM-based metrics provide only summary-level assessment using Likertscale scores.This limits deeper model analysis, e.g., we can only assign one hallucination score at the summary level, while at the sentence level, we can count sentences containing hallucinations.To remedy those limitations, we propose FineSurE, a fine-grained evalua",True,False
W4366850809,"""HOT"" ChatGPT: The promise of ChatGPT in detecting and discriminating hateful, offensive, and toxic comments on social media",2023,arXiv (Cornell University),20,preprint,2304.10619,10.48550/arxiv.2304.10619,"Lingyao Li, Lizhou Fan, Shubham Atreja et al.","Harmful content is pervasive on social media, poisoning online communities and negatively impacting participation. A common approach to address this issue is to develop detection models that rely on human annotations. However, the tasks required to build such models expose annotators to harmful and offensive content and may require significant time and cost to complete. Generative AI models have the potential to understand and detect harmful content. To investigate this potential, we used ChatGPT and compared its performance with MTurker annotations for three frequently discussed concepts rela",True,False
W4394872778,Validation of GPT‐4 for clinical event classification: A comparative analysis with ICD codes and human reviewers,2024,Journal of Gastroenterology and Hepatology,19,article,,10.1111/jgh.16561,"Yichen Wang, Yuting Huang, Induja R. Nimma et al.","BACKGROUND AND AIM: Effective clinical event classification is essential for clinical research and quality improvement. The validation of artificial intelligence (AI) models like Generative Pre-trained Transformer 4 (GPT-4) for this task and comparison with conventional methods remains unexplored. METHODS: We evaluated the performance of the GPT-4 model for classifying gastrointestinal (GI) bleeding episodes from 200 medical discharge summaries and compared the results with human review and an International Classification of Diseases (ICD) code-based system. The analysis included accuracy, sen",True,False
W4415930269,Evaluating clinical AI summaries with large language models as judges,2025,npj Digital Medicine,19,article,,10.1038/s41746-025-02005-2,"Emma Croxford, Yanjun Gao, Elliot First et al.","Electronic Health Records (EHRs) contain vast clinical data that are difficult for providers to synthesize. Generative AI with Large Language Models (LLMs) can summarize records to reduce cognitive burden, but ensuring accuracy requires reliable evaluation. Human review is the gold standard but is costly and slow. To address this, we introduce and validate an automated LLM-based method to assess real-world EHR multi-document summaries. Benchmarking against the validated Provider Documentation Summarization Quality Instrument (PDSQI), our LLM-as-a-Judge framework demonstrated strong inter-rater",True,False
W4400141990,AI Benchmark Half-Life in Recursive Corpora: A Theory of Validity Decay under Semantic Leakage and Regeneration,2024,arXiv (Cornell University),18,preprint,2406.19314,10.48550/arxiv.2406.19314,"Colin White, Samuel Dooley, Manley Roberts et al.","Test set contamination, wherein test data from a benchmark ends up in a newer model's training set, is a well-documented obstacle for fair LLM evaluation and can quickly render benchmarks obsolete. To mitigate this, many recent benchmarks crowdsource new prompts and evaluations from human or LLM judges; however, these can introduce significant biases, and break down when scoring hard questions. In this work, we introduce a new benchmark for LLMs designed to be resistant to both test set contamination and the pitfalls of LLM judging and human crowdsourcing. We release LiveBench, the first bench",True,False
W4400926398,How to Use Large Language Models for Empirical Legal Research,2024,Journal of Institutional and Theoretical Economics JITE,18,article,,10.1628/jite-2024-0006,Jonathan H. Choi,"Legal scholars have long annotated cases by hand to summarize and learn about developments in jurisprudence. Dramatic recent improvements in the performance of large language models (LLMs) now provide a potential alternative. This article demonstrates how to use LLMs to analyze legal documents. It evaluates best practices and suggests both the uses and potential limitations of LLMs in empirical legal research. In a simple classification task involving Supreme Court opinions, it finds that GPT-4 performs approximately as well as human coders and significantly better than a variety of prior-gene",True,False
W4411113160,TEaR: Improving LLM-based Machine Translation with Systematic Self-Refinement,2025,,18,article,,10.18653/v1/2025.findings-naacl.218,"Zhaopeng Feng, Yan Zhang, Hao Li et al.","Large Language Models (LLMs) have achieved impressive results in Machine Translation (MT).However, human evaluations reveal that LLM-generated translations still contain various errors.Notably, feeding the error information back into the LLMs can facilitate selfrefinement, leading to enhanced translation quality.Motivated by these findings, we introduce TEaR (Translate, Estimate, and Refine), a systematic LLM-based self-refinement framework aimed at bootstrapping translation performance.Our key results show that: 1) TEaR framework enables LLMs to improve their translation quality relying solel",True,False
W4385970120,Wider and Deeper LLM Networks are Fairer LLM Evaluators,2023,arXiv (Cornell University),17,preprint,2308.01862,10.48550/arxiv.2308.01862,"Xinghua Zhang, Bowen Yu, Hou‐Yong Yu et al.","Measuring the quality of responses generated by LLMs is a challenging task, particularly when it comes to evaluating whether the response is aligned with human preference. A novel approach involves using the LLM itself to make evaluation and stabilizing the results through multiple independent evaluations, similar to a single-layer narrow LLM network. This network consists of a fixed number of neurons, with each neuron being the same LLM. In this paper, we draw upon the extensive research on deep neural networks to explore whether deeper and wider networks can lead to fairer evaluations. Speci",True,False
W4409709519,Automating Evaluation of AI Text Generation in Healthcare with a Large Language Model (LLM)-as-a-Judge,2025,medRxiv,16,preprint,,10.1101/2025.04.22.25326219,"Emma Croxford, Yanjun Gao, Elliot First et al.","Electronic Health Records (EHRs) store vast amounts of clinical information that are difficult for healthcare providers to summarize and synthesize relevant details to their practice. To reduce cognitive load on providers, generative AI with Large Language Models have emerged to automatically summarize patient records into clear, actionable insights and offload the cognitive burden for providers. However, LLM summaries need to be precise and free from errors, making evaluations on the quality of the summaries necessary. While human experts are the gold standard for evaluations, their involveme",True,False
