title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical
Future of education in the era of generative artificial intelligence: Consensus among Chinese scholars on applications of ChatGPT in schools,2023,Future in Educational Research,226,article,,10.1002/fer3.10,"Ming Liu, Yiling Ren, Lucy Michael Nyagoga et al.","Abstract ChatGPT is an artificial intelligence chatbot that utilizes advanced natural language processing technologies, including large language models, to produce human‐like responses to user queries spanning a wide range of topics from programming to mathematics. As an emerging generative artificial intelligence (GAI) tool, it presents novel opportunities and challenges to the ongoing digital transformation of education. This article employs a systematic review approach to summarize the viewpo",True
Can Generative AI improve social science?,2024,Proceedings of the National Academy of Sciences,225,article,,10.1073/pnas.2314021121,Christopher A. Bail,"Generative AI that can produce realistic text, images, and other human-like outputs is currently transforming many different industries. Yet it is not yet known how such tools might influence social science research. I argue Generative AI has the potential to improve survey research, online experiments, automated content analyses, agent-based models, and other techniques commonly used to study human behavior. In the second section of this article, I discuss the many limitations of Generative. I ",True
Supporting Qualitative Analysis with Large Language Models: Combining Codebook with GPT-3 for Deductive Coding,2023,,203,preprint,2304.10548,10.1145/3581754.3584136,"Ziang Xiao, Xingdi Yuan, Q. Vera Liao et al.","Qualitative analysis of textual contents unpacks rich and valuable information by assigning labels to the data. However, this process is often labor-intensive, particularly when working with large datasets. While recent AI-based tools demonstrate utility, researchers may not have readily available AI resources and expertise, let alone be challenged by the limited generalizability of those task-specific models. In this study, we explored the use of large language models (LLMs) in supporting deduc",True
Incorporating AI in foreign language education: An investigation into ChatGPT’s effect on foreign language learners,2024,Education and Information Technologies,187,article,,10.1007/s10639-024-12574-6,"Fatih Karataş, Faramarz Yaşar Abedi, Filiz Ozek Gunyel et al.","Abstract ChatGPT, an artificial intelligence application, has emerged as a promising educational tool with a wide range of applications, attracting the attention of researchers and educators. This qualitative case study, chosen for its ability to provide an in-depth exploration of the nuanced effects of AI on the foreign language learning process within its real-world educational context, aimed to utilize ChatGPT in foreign language education, addressing a gap in existing research by offering in",True
Performing an Inductive Thematic Analysis of Semi-Structured Interviews With a Large Language Model: An Exploration and Provocation on the Limits of the Approach,2023,Social Science Computer Review,176,article,,10.1177/08944393231220483,Stefano De Paoli,Large Language Models (LLMs) have emerged as powerful generative Artificial Intelligence solutions. This paper presents results and reflections of an experiment done with the LLM GPT 3.5-Turbo to perform an inductive Thematic Analysis (TA). Previous research has worked on conducting deductive analysis. Thematic Analysis is a qualitative method for analysis commonly used in social sciences and it is based on interpretations by the human analyst(s) and the identification of explicit and latent mea,True
"Student Perceptions of ChatGPT Use in a College Essay Assignment: Implications for Learning, Grading, and Trust in Artificial Intelligence",2024,IEEE Transactions on Learning Technologies,176,article,,10.1109/tlt.2024.3355015,"Chad C. Tossell, Nathan L. Tenhundfeld, Ali Momen et al.","This study examined student experiences before and after an essay writing assignment that required the use of ChatGPT within an undergraduate engineering course. Utilizing a pre-post study design, we gathered data from 24 participants to evaluate ChatGPT's support for both completing and grading an essay assignment, exploring its educational value and impact on the learning process. Our quantitative and thematic analyses uncovered that ChatGPT did not simplify the writing process. Instead, the t",True
ChatGPT-4 Outperforms Experts and Crowd Workers in Annotating Political Twitter Messages with Zero-Shot Learning,2023,arXiv (Cornell University),159,preprint,2304.06588,10.48550/arxiv.2304.06588,Petter Törnberg,"This paper assesses the accuracy, reliability and bias of the Large Language Model (LLM) ChatGPT-4 on the text analysis task of classifying the political affiliation of a Twitter poster based on the content of a tweet. The LLM is compared to manual annotation by both expert classifiers and crowd workers, generally considered the gold standard for such tasks. We use Twitter messages from United States politicians during the 2020 election, providing a ground truth against which to measure accuracy",True
A Comprehensive Survey on Pretrained Foundation Models: A History from BERT to ChatGPT,2023,arXiv (Cornell University),153,preprint,2302.09419,10.48550/arxiv.2302.09419,"Ce Zhou, Qian Li, Chen Li et al.","Pretrained Foundation Models (PFMs) are regarded as the foundation for various downstream tasks with different data modalities. A PFM (e.g., BERT, ChatGPT, and GPT-4) is trained on large-scale data which provides a reasonable parameter initialization for a wide range of downstream applications. BERT learns bidirectional encoder representations from Transformers, which are trained on large datasets as contextual language models. Similarly, the generative pretrained transformer (GPT) method employ",True
“It happened to be the perfect thing”: experiences of generative AI chatbots for mental health,2024,npj Mental Health Research,138,article,,10.1038/s44184-024-00097-4,"Steven Siddals, John Torous, Astrid Coxon","The global mental health crisis underscores the need for accessible, effective interventions. Chatbots based on generative artificial intelligence (AI), like ChatGPT, are emerging as novel solutions, but research on real-life usage is limited. We interviewed nineteen individuals about their experiences using generative AI chatbots for mental health. Participants reported high engagement and positive impacts, including better relationships and healing from trauma and loss. We developed four theme",True
Homogenization Effects of Large Language Models on Human Creative Ideation,2024,Creativity and Cognition,122,preprint,2402.01536,10.1145/3635636.3656204,"Barrett R. Anderson, Jash Hemant Shah, Max Kreminski","Large language models (LLMs) are now being used in a wide variety of contexts, including as creativity support tools (CSTs) intended to help their users come up with new ideas. But do LLMs actually support user creativity? We hypothesized that the use of an LLM as a CST might make the LLM’s users feel more creative, and even broaden the range of ideas suggested by each individual user, but also homogenize the ideas suggested by different users. We conducted a 36-participant comparative user stud",True
Graphologue: Exploring Large Language Model Responses with Interactive Diagrams,2023,,117,preprint,,10.1145/3586183.3606737,"Peiling Jiang, Jude Rayan, Steven P. Dow et al.","Large language models (LLMs) have recently soared in popularity due to their ease of access and the unprecedented ability to synthesize text responses to diverse user questions. However, LLMs like ChatGPT present significant limitations in supporting complex information tasks due to the insufficient affordances of the text-based medium and linear conversational structure. Through a formative study with ten participants, we found that LLM interfaces often present long-winded responses, making it ",True
A Survey on Large Language Model based Autonomous Agents,2023,arXiv (Cornell University),113,preprint,2308.11432,10.48550/arxiv.2308.11432,"Lei Wang, Chen Ma, Xueyang Feng et al.","Autonomous agents have long been a prominent research focus in both academic and industry communities. Previous research in this field often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and thus makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of web knowledge, large language models (LLMs) have demonstrated remarkable potential in achieving human-",True
Using ChatGPT for human–computer interaction research: a primer,2023,Royal Society Open Science,113,article,,10.1098/rsos.231053,"Wilbert Tabone, Joost de Winter","ChatGPT could serve as a tool for text analysis within the field of Human–Computer Interaction, though its validity requires investigation. This study applied ChatGPT to: (1) textbox questionnaire responses on nine augmented-reality interfaces, (2) interview data from participants who experienced these interfaces in a virtual simulator, and (3) transcribed think-aloud data of participants who viewed a real painting and its replica. Using a hierarchical approach, ChatGPT produced scores or summar",True
RePrompt: Automatic Prompt Editing to Refine AI-Generative Art Towards Precise Expressions,2023,,108,preprint,2302.09466,10.1145/3544548.3581402,"Yunlong Wang, Shuyuan Shen, Brian Y. Lim","Generative AI models have shown impressive ability to produce images with text prompts, which could benefit creativity in visual art creation and self-expression. However, it is unclear how precisely the generated images express contexts and emotions from the input texts. We explored the emotional expressiveness of AI-generated images and developed RePrompt, an automatic method to refine text prompts toward precise expression of the generated images. Inspired by crowdsourced editing strategies, ",True
"Prompts, Pearls, Imperfections: Comparing ChatGPT and a Human Researcher in Qualitative Data Analysis",2024,Qualitative Health Research,88,article,,10.1177/10497323241244669,"Jonas Wachinger, Kate Bärnighausen, Louis Noël Schäfer et al.","The impact of ChatGPT and other large language model-based applications on scientific work is being debated across contexts and disciplines. However, despite ChatGPT's inherent focus on language generation and processing, insights regarding its potential for supporting qualitative research and analysis remain limited. In this article, we advocate for an open discourse on chances and pitfalls of AI-supported qualitative analysis by exploring ChatGPT's performance when analyzing an interview trans",True
The ethics of using generative AI for qualitative data analysis,2024,Information Systems Journal,71,article,,10.1111/isj.12504,"Robert M. Davison, Hameed Chughtai, Petter Nielsen et al.",It is important to note that the text of this editorial is entirely written by humans without any Generative Artificial Intelligence (GAI) contribution or assistance. The Editor of the ISJ (Robert M. Davison) was contacted by one of the ISJ's Associate Editors (AE) (Marjolein van Offenbeek) who explained that the qualitative data analysis software ATLAS.ti was offering a free-of-charge analysis of research data if the researcher shared the same data with ATLAS.ti for training purposes for their ,True
Human-Algorithmic Interaction Using a Large Language Model-Augmented Artificial Intelligence Clinical Decision Support System,2024,,68,article,,10.1145/3613904.3642024,"Niroop Rajashekar, Yeo Eun Shin, 円 杉浦 et al.","Integration of artificial intelligence (AI) into clinical decision support systems (CDSS) poses a socio-technological challenge that is impacted by usability, trust, and human-computer interaction (HCI). AI-CDSS interventions have shown limited benefit in clinical outcomes, which may be due to insufficient understanding of how health-care providers interact with AI systems. Large language models (LLMs) have the potential to enhance AI-CDSS, but haven’t been studied in either simulated or real-wo",True
ChatGPT: Beginning of an End of Manual Linguistic Data Annotation? Use Case of Automatic Genre Identification,2023,arXiv (Cornell University),66,preprint,2303.03953,10.48550/arxiv.2303.03953,"Taja Kuzman, Igor Mozetič, Nikola Ljubešić","ChatGPT has shown strong capabilities in natural language generation tasks, which naturally leads researchers to explore where its abilities end. In this paper, we examine whether ChatGPT can be used for zero-shot text classification, more specifically, automatic genre identification. We compare ChatGPT with a multilingual XLM-RoBERTa language model that was fine-tuned on datasets, manually annotated with genres. The models are compared on test sets in two languages: English and Slovenian. Resul",True
Comparing the Efficacy and Efficiency of Human and Generative AI: Qualitative Thematic Analyses,2024,JMIR AI,65,article,,10.2196/54482,"Maximo Prescott, Samantha Yeager, Lillian Ham et al.","BACKGROUND: Qualitative methods are incredibly beneficial to the dissemination and implementation of new digital health interventions; however, these methods can be time intensive and slow down dissemination when timely knowledge from the data sources is needed in ever-changing health systems. Recent advancements in generative artificial intelligence (GenAI) and their underlying large language models (LLMs) may provide a promising opportunity to expedite the qualitative analysis of textual data,",True
LLM-Assisted Content Analysis: Using Large Language Models to Support Deductive Coding,2023,arXiv (Cornell University),64,preprint,2306.14924,10.48550/arxiv.2306.14924,"Robert Chew, John Bollenbacher, Michael Wenger et al.","Deductive coding is a widely used qualitative research method for determining the prevalence of themes across documents. While useful, deductive coding is often burdensome and time consuming since it requires researchers to read, interpret, and reliably categorize a large body of unstructured text documents. Large language models (LLMs), like ChatGPT, are a class of quickly evolving AI tools that can perform a range of natural language processing and reasoning tasks. In this study, we explore th",True
LLM-in-the-loop: Leveraging Large Language Model for Thematic Analysis,2023,,64,article,,10.18653/v1/2023.findings-emnlp.669,"Shih-Chieh Dai, Aiping Xiong, Lun‐Wei Ku","Thematic analysis (TA) has been widely used for analyzing qualitative data in many disciplines and fields. To ensure reliable analysis, the same piece of data is typically assigned to at least two human coders. Moreover, to produce meaningful and useful analysis, human coders develop and deepen their data interpretation and coding over multiple iterations, making TA labor-intensive and time-consuming. Recently the emerging field of large language models (LLMs) research has shown that LLMs have t",True
Redefining Qualitative Analysis in the AI Era: Utilizing ChatGPT for Efficient Thematic Analysis,2023,arXiv (Cornell University),63,preprint,2309.10771,10.48550/arxiv.2309.10771,"He Zhang, Chuhao Wu, Jingyi Xie et al.","AI tools, particularly large-scale language model (LLM) based applications such as ChatGPT, have the potential to simplify qualitative research. Through semi-structured interviews with seventeen participants, we identified challenges and concerns in integrating ChatGPT into the qualitative analysis process. Collaborating with thirteen qualitative researchers, we developed a framework for designing prompts to enhance the effectiveness of ChatGPT in thematic analysis. Our findings indicate that im",True
Generating Automatic Feedback on UI Mockups with Large Language Models,2024,,61,preprint,2403.13139,10.1145/3613904.3642782,"Peitong Duan, Jeremy Warner, Yang Li et al.","Feedback on user interface (UI) mockups is crucial in design. However, human feedback is not always readily available. We explore the potential of using large language models for automatic feedback. Specifically, we focus on applying GPT-4 to automate heuristic evaluation, which currently entails a human expert assessing a UI’s compliance with a set of design guidelines. We implemented a Figma plugin that takes in a UI design and a set of written heuristics, and renders automatically-generated f",True
From Google Gemini to OpenAI Q* (Q-Star): A Survey of Reshaping the Generative Artificial Intelligence (AI) Research Landscape,2023,arXiv (Cornell University),60,preprint,2312.10868,10.48550/arxiv.2312.10868,"Timothy R. McIntosh, Teo Sušnjak, Tong Liu et al.","This comprehensive survey explored the evolving landscape of generative Artificial Intelligence (AI), with a specific focus on the transformative impacts of Mixture of Experts (MoE), multimodal learning, and the speculated advancements towards Artificial General Intelligence (AGI). It critically examined the current state and future trajectory of generative Artificial Intelligence (AI), exploring how innovations like Google's Gemini and the anticipated OpenAI Q* project are reshaping research pr",True
Let the LLMs Talk: Simulating Human-to-Human Conversational QA via Zero-Shot LLM-to-LLM Interactions,2024,,59,article,,10.1145/3616855.3635856,"Zahra Abbasiantaeb, Yifei Yuan, Evangelos Kanoulas et al.","CQA systems aim to create interactive search systems that effectively retrieve information by interacting with users. To replicate human-to-human conversations, existing work uses human annotators to play the roles of the questioner (student) and the answerer (teacher). Despite its effectiveness, challenges exist as human annotation is time-consuming, inconsistent, and not scalable. To address this issue and investigate the applicability of LLM in CQA simulation, we propose a simulation framewor",True
Knowledge sharing in manufacturing using LLM-powered tools: user study and model benchmarking,2024,Frontiers in Artificial Intelligence,58,article,,10.3389/frai.2024.1293084,"Samuel Kernan Freire, Chaofan Wang, Mina Foosherian et al.","Recent advances in natural language processing enable more intelligent ways to support knowledge sharing in factories. In manufacturing, operating production lines has become increasingly knowledge-intensive, putting strain on a factory's capacity to train and support new operators. This paper introduces a Large Language Model (LLM)-based system designed to retrieve information from the extensive knowledge contained in factory documentation and knowledge shared by expert operators. The system ai",True
Why and When LLM-Based Assistants Can Go Wrong: Investigating the Effectiveness of Prompt-Based Interactions for Software Help-Seeking,2024,,57,preprint,2402.08030,10.1145/3640543.3645200,"Anjali Khurana, Hariharan Subramonyam, Parmit K. Chilana","Large Language Model (LLM) assistants, such as ChatGPT, have emerged as potential alternatives to search methods for helping users navigate complex, feature-rich software. LLMs use vast training data from domain-specific texts, software manuals, and code repositories to mimic human-like interactions, offering tailored assistance, including step-by-step instructions. In this work, we investigated LLM-generated software guidance through a within-subject experiment with 16 participants and follow-u",True
Development and Evaluation of a Retrieval-Augmented Large Language Model Framework for Ophthalmology,2024,JAMA Ophthalmology,51,letter,,10.1001/jamaophthalmol.2024.2513,"Mingjie Luo, Jianyu Pang, Shaowei Bi et al.","Importance: Although augmenting large language models (LLMs) with knowledge bases may improve medical domain-specific performance, practical methods are needed for local implementation of LLMs that address privacy concerns and enhance accessibility for health care professionals. Objective: To develop an accurate, cost-effective local implementation of an LLM to mitigate privacy concerns and support their practical deployment in health care settings. Design, Setting, and Participants: ChatZOC (Su",True
Toward General Design Principles for Generative AI Applications,2023,arXiv (Cornell University),49,preprint,2301.05578,10.48550/arxiv.2301.05578,"Justin D. Weisz, Michael Müller, Jessica He et al.","Generative AI technologies are growing in power, utility, and use. As generative technologies are being incorporated into mainstream applications, there is a need for guidance on how to design those applications to foster productive and safe use. Based on recent research on human-AI co-creation within the HCI and AI communities, we present a set of seven principles for the design of generative AI applications. These principles are grounded in an environment of generative variability. Six princip",True
“It’s the only thing I can trust”: Envisioning Large Language Model Use by Autistic Workers for Communication Assistance,2024,,46,preprint,2403.03297,10.1145/3613904.3642894,"JiWoong Jang, Sanika Moharana, Patrick Carrington et al.","Autistic adults often experience stigma and discrimination at work, leading them to seek social communication support from coworkers, friends, and family despite emotional risks. Large language models (LLMs) are increasingly considered an alternative. In this work, we investigate the phenomenon of LLM use by autistic adults at work and explore opportunities and risks of LLMs as a source of social communication advice. We asked 11 autistic participants to present questions about their own workpla",True
Deus Ex Machina and Personas from Large Language Models: Investigating the Composition of AI-Generated Persona Descriptions,2024,,45,article,,10.1145/3613904.3642036,"Joni Salminen, Chang Liu, Wenjing Pian et al.","Large language models (LLMs) can generate personas based on prompts that describe the target user group. To understand what kind of personas LLMs generate, we investigate the diversity and bias in 450 LLM-generated personas with the help of internal evaluators (n=4) and subject-matter experts (SMEs) (n=5). The research findings reveal biases in LLM-generated personas, particularly in age, occupation, and pain points, as well as a strong bias towards personas from the United States. Human evaluat",True
ChatGPT in thematic analysis: Can AI become a research assistant in qualitative research?,2025,Quality & Quantity,42,article,,10.1007/s11135-025-02165-z,Kien Nguyen‐Trung,"Abstract Despite an emerging body of scholarship on applying generative AI (GenAI) to qualitative data analysis, this area remains underdeveloped. This article evaluates how GenAI can support thematic analysis using a publicly available interview dataset from Lumivero. It introduces Guided AI Thematic Analysis (GAITA), an adaptation of King et al.’s (2018) Template Analysis. This framework positions researchers as a reflexive instrument and intellectual leader while thoroughly guiding GPT-4 in f",True
"""If the Machine Is As Good As Me, Then What Use Am I?"" – How the Use of ChatGPT Changes Young Professionals' Perception of Productivity and Accomplishment",2024,,41,article,,10.1145/3613904.3641964,"Charlotte Kobiella, Y. López, Franz Waltenberger et al.","Large language models (LLMs) like ChatGPT have been widely adopted in work contexts. We explore the impact of ChatGPT on young professionals’ perception of productivity and sense of accomplishment. We collected LLMs’ main use cases in knowledge work through a preliminary study, which served as the basis for a two-week diary study with 21 young professionals reflecting on their ChatGPT use. Findings indicate that ChatGPT enhanced some participants’ perceptions of productivity and accomplishment b",True
Evaluating large language models in analysing classroom dialogue,2024,npj Science of Learning,39,article,,10.1038/s41539-024-00273-3,"Yun Liang Long, Haifeng Luo, Yu Zhang","This study explores the use of Large Language Models (LLMs), specifically GPT-4, in analysing classroom dialogue-a key task for teaching diagnosis and quality improvement. Traditional qualitative methods are both knowledge- and labour-intensive. This research investigates the potential of LLMs to streamline and enhance this process. Using datasets from middle school mathematics and Chinese classes, classroom dialogues were manually coded by experts and then analysed with a customised GPT-4 model",True
Humans or LLMs as the Judge? A Study on Judgement Bias,2024,,38,article,,10.18653/v1/2024.emnlp-main.474,"Guiming Hardy Chen, Shunian Chen, Ziche Liu et al.","Adopting human and large language models (LLM) as judges (a.k.a human-and LLM-as-ajudge) for evaluating the performance of LLMs has recently gained attention.Nonetheless, this approach concurrently introduces potential biases from human and LLMs, questioning the reliability of the evaluation results.In this paper, we propose a novel framework that is free from referencing groundtruth annotations for investigating Misinformation Oversight Bias, Gender Bias, Authority Bias and Beauty Bias on LLM a",True
Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,2023,,36,preprint,,10.31235/osf.io/5ecfa,"James Bisbee, Joshua D. Clinton, Cassy Dorff et al.","Large Language Models (LLMs) offer new research possibilities for social scientists, but their potential as ""synthetic data"" is still largely unknown. In this paper, we investigate how accurately the popular closed-source LLM ChatGPT can recover public opinion, prompting the LLM to adopt different ""personas"" and then provide feeling thermometer scores for 11 sociopolitical groups. The average scores generated by ChatGPT correspond closely to the averages in our baseline survey, the 2016–2020 Ame",True
Automated Annotation with Generative AI Requires Validation,2023,arXiv (Cornell University),35,preprint,2306.00176,10.48550/arxiv.2306.00176,"Nicholas Pangakis, Samuel Wolken, Neil Fasching","Generative large language models (LLMs) can be a powerful tool for augmenting text annotation procedures, but their performance varies across annotation tasks due to prompt quality, text data idiosyncrasies, and conceptual difficulty. Because these challenges will persist even as LLM technology improves, we argue that any automated annotation process using an LLM must validate the LLM's performance against labels generated by humans. To this end, we outline a workflow to harness the annotation p",True
BeaverTails: Towards Improved Safety Alignment of LLM via a Human-Preference Dataset,2023,arXiv (Cornell University),34,preprint,2307.04657,10.48550/arxiv.2307.04657,"Jiaming Ji, Mickel Liu, Juntao Dai et al.","In this paper, we introduce the BeaverTails dataset, aimed at fostering research on safety alignment in large language models (LLMs). This dataset uniquely separates annotations of helpfulness and harmlessness for question-answering pairs, thus offering distinct perspectives on these crucial attributes. In total, we have gathered safety meta-labels for 333,963 question-answer (QA) pairs and 361,903 pairs of expert comparison data for both the helpfulness and harmlessness metrics. We further show",True
CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,2023,,33,article,,10.18653/v1/2023.emnlp-main.669,"Myra Cheng, Tiziano Piccardi, Diyi Yang","Recent work has aimed to capture nuances of human behavior by using LLMs to simulate responses from particular demographics in settings like social science experiments and public opinion surveys. However, there are currently no established ways to discuss or evaluate the quality of such LLM simulations. Moreover, there is growing concern that these LLM simulations are flattened caricatures of the personas that they aim to simulate, failing to capture the multidimensionality of people and perpetu",True
CoAnnotating: Uncertainty-Guided Work Allocation between Human and Large Language Models for Data Annotation,2023,,33,article,,10.18653/v1/2023.emnlp-main.92,"Minzhi Li, Taiwei Shi, Caleb Ziems et al.","Annotated data plays a critical role in Natural Language Processing (NLP) in training models and evaluating their performance. Given recent developments in Large Language Models (LLMs), models such as ChatGPT demonstrate zero-shot capability on many text-annotation tasks, comparable with or even exceeding human annotators. Such LLMs can serve as alternatives for manual annotation, due to lower costs and higher scalability. However, limited work has leveraged LLMs as complementary annotators, nor",True
Comparing GPT-4 and Human Researchers in Health Care Data Analysis: Qualitative Description Study,2024,Journal of Medical Internet Research,33,article,,10.2196/56500,"Kevin Li, Adrian Fernandez, Rachel Schwartz et al.","BACKGROUND: Large language models including GPT-4 (OpenAI) have opened new avenues in health care and qualitative research. Traditional qualitative methods are time-consuming and require expertise to capture nuance. Although large language models have demonstrated enhanced contextual understanding and inferencing compared with traditional natural language processing, their performance in qualitative analysis versus that of humans remains unexplored. OBJECTIVE: We evaluated the effectiveness of G",True
"“As an AI language model, I cannot”: Investigating LLM Denials of User Requests",2024,,33,article,,10.1145/3613904.3642135,"Joel Wester, Tim Schrills, Henning Pohl et al.","Users ask large language models (LLMs) to help with their homework, for lifestyle advice, or for support in making challenging decisions. Yet LLMs are often unable to fulfil these requests, either as a result of their technical inabilities or policies restricting their responses. To investigate the effect of LLMs denying user requests, we evaluate participants’ perceptions of different denial styles. We compare specific denial styles (baseline, factual, diverting, and opinionated) across two stu",True
SMILE: Single-turn to Multi-turn Inclusive Language Expansion via ChatGPT for Mental Health Support,2024,,32,article,,10.18653/v1/2024.findings-emnlp.34,"Huachuan Qiu, Hongliang He, Shuai Zhang et al.","Developing specialized dialogue systems for mental health support requires multi-turn conversation data, which has recently garnered increasing attention.However, gathering and releasing large-scale, real-life multi-turn conversations that could facilitate advancements in mental health support presents challenges in data privacy protection and the time and cost involved in crowdsourcing.To address these challenges, we introduce SMILE, a single-turn to multi-turn inclusive language expansion tech",True
"Conversational AI-Powered Design: ChatGPT as Designer, User, and Product",2023,arXiv (Cornell University),31,preprint,2302.07406,10.48550/arxiv.2302.07406,A. Baki Kocaballı,"The recent advancements in Large Language Models (LLMs), particularly conversational LLMs like ChatGPT, have prompted changes in a range of fields, including design. This study aims to examine the capabilities of ChatGPT in a human-centered design process. To this end, a hypothetical design project was conducted, where ChatGPT was utilized to generate personas, simulate interviews with fictional users, create new design ideas, simulate usage scenarios and conversations between an imaginary proto",True
